;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;
mLkNN;0,2182±0,0362;0,2134±0,0373;0,2265±0,0307;0,2444±0,0323;0,2470±0,0355;0,2326±0,0264;0,2291±0,0285;0,2351±0,0223;0,2231±0,0286;0,2374±0,0248;0,2327±0,0288;0,2328±0,0352;0,2529±0,0298;0,2315±0,0235;0,2532±0,0408;0,2470±0,0467;0,2387±0,0380;0,2697±0,0473;0,2447±0,0448;0,2613±0,0463;
bRkNN;0,2002±0,0468;0,2481±0,0335;0,2734±0,0264;0,2914±0,0322;0,3262±0,0285;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;
bRkNN_a;0,2002±0,0468;0,2481±0,0335;0,2734±0,0264;0,2914±0,0322;0,3262±0,0285;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;0,3381±0,0230;
bRkNN_b;0,1859±0,0327;0,2326±0,0218;0,2567±0,0162;0,2783±0,0238;0,3179±0,0190;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;0,3310±0,0144;
mlmut;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;
mlmut_a;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;0,2002±0,0468;
mlmut_b;0,1859±0,0327;0,1859±0,0327;0,1859±0,0327;0,1859±0,0327;0,1859±0,0327;0,1859±0,0327;0,1859±0,0327;0,1859±0,0327;0,1859±0,0327;0,1859±0,0327;0,1859±0,0327;0,1859±0,0327;0,1859±0,0327;0,1859±0,0327;0,1859±0,0327;0,1859±0,0327;0,1859±0,0327;0,1859±0,0327;0,1859±0,0327;0,1859±0,0327;
mlnotmut;0,2420±0,0582;0,2779±0,0625;0,2815±0,0449;0,3399±0,0811;0,2686±0,0407;0,2733±0,0344;0,2507±0,0320;0,2746±0,0416;0,2783±0,0396;0,2903±0,0404;0,2903±0,0442;0,2951±0,0346;0,2986±0,0345;0,3082±0,0280;0,3009±0,0429;0,3081±0,0445;0,3093±0,0331;0,3141±0,0389;0,3104±0,0311;0,3129±0,0386;
mlnotmut_a;0,2420±0,0582;0,2767±0,0633;0,2815±0,0449;0,3388±0,0806;0,2686±0,0407;0,2757±0,0340;0,2507±0,0320;0,2746±0,0416;0,2783±0,0396;0,2903±0,0404;0,2903±0,0442;0,2951±0,0346;0,2986±0,0345;0,3082±0,0280;0,3009±0,0429;0,3081±0,0445;0,3093±0,0331;0,3141±0,0389;0,3104±0,0311;0,3129±0,0386;
mlnotmut_b;0,2420±0,0582;0,2601±0,0407;0,2839±0,0507;0,2792±0,0655;0,2817±0,0466;0,2674±0,0123;0,2662±0,0173;0,2782±0,0223;0,2877±0,0284;0,2879±0,0357;0,2903±0,0375;0,2926±0,0395;0,3022±0,0360;0,3094±0,0291;0,3046±0,0458;0,3093±0,0356;0,3130±0,0406;0,3213±0,0304;0,3166±0,0397;0,3164±0,0400;
