;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;
GeneralB;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;
mLkNN;0,2250±0,0087;0,1967±0,0060;0,1984±0,0070;0,1975±0,0067;0,1975±0,0067;0,1975±0,0057;0,1985±0,0068;0,1972±0,0056;0,1984±0,0066;0,2004±0,0061;
bRkNN;0,1968±0,0066;0,1968±0,0066;0,1970±0,0065;0,1974±0,0069;0,1981±0,0074;0,1985±0,0075;0,1985±0,0075;0,1985±0,0075;0,1996±0,0079;0,2004±0,0082;
bRkNN_a;0,1968±0,0066;0,1968±0,0066;0,1970±0,0065;0,1974±0,0069;0,1981±0,0074;0,1985±0,0075;0,1985±0,0075;0,1985±0,0075;0,1996±0,0079;0,2004±0,0082;
bRkNN_b;0,2057±0,0090;0,2059±0,0093;0,2063±0,0093;0,2072±0,0097;0,2081±0,0102;0,2085±0,0102;0,2085±0,0102;0,2085±0,0102;0,2096±0,0107;0,2100±0,0110;
mlmut;0,2329±0,0119;0,2180±0,0161;0,2207±0,0189;0,2184±0,0169;0,2184±0,0153;0,2186±0,0153;0,2191±0,0170;0,2183±0,0170;0,2179±0,0175;0,2176±0,0174;
mlmut_a;0,2329±0,0119;0,2180±0,0161;0,2207±0,0189;0,2184±0,0169;0,2184±0,0153;0,2186±0,0153;0,2191±0,0170;0,2183±0,0170;0,2179±0,0175;0,2176±0,0174;
mlmut_b;0,2324±0,0121;0,2232±0,0133;0,2280±0,0167;0,2234±0,0171;0,2294±0,0158;0,2277±0,0155;0,2310±0,0168;0,2262±0,0158;0,2263±0,0153;0,2239±0,0146;
mlnotmut;0,2195±0,0176;0,2467±0,0525;0,2155±0,0194;0,2297±0,0198;0,2071±0,0203;0,2140±0,0258;0,2063±0,0205;0,2150±0,0236;0,2199±0,0304;0,2196±0,0281;
mlnotmut_a;0,2195±0,0176;0,2443±0,0485;0,2155±0,0194;0,2297±0,0198;0,2071±0,0203;0,2140±0,0258;0,2063±0,0205;0,2150±0,0236;0,2199±0,0304;0,2196±0,0281;
mlnotmut_b;0,2324±0,0184;0,2405±0,0348;0,2284±0,0187;0,2368±0,0167;0,2202±0,0179;0,2255±0,0236;0,2185±0,0199;0,2279±0,0220;0,2339±0,0309;0,2319±0,0264;
